VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,2016-03-01 02:59:52,2016-03-01 03:16:10,N,1,-73.957572937011719,40.722324371337891,-73.969169616699219,40.758026123046875,1,5.05,17.5,0.5,0.5,3.76,0,,0.3,22.56,1,1
2,2016-03-01 02:58:34,2016-03-01 03:16:57,N,1,-73.922126770019531,40.755191802978516,-73.950332641601563,40.801151275634766,1,6.58,20.5,0.5,0.5,0,0,,0.3,21.8,1,1
2,2016-03-01 02:56:40,2016-03-01 03:23:22,N,1,-73.951751708984375,40.714221954345703,-73.971405029296875,40.606132507324219,1,12.39,35.5,0.5,0.5,9.2,0,,0.3,46,1,1
2,2016-03-01 02:57:45,2016-03-01 03:27:26,N,1,-73.939857482910156,40.674701690673828,-73.891670227050781,40.662433624267578,1,5.82,24.5,0.5,0.5,7.74,0,,0.3,33.54,1,1
2,2016-03-01 02:56:55,2016-03-01 03:01:57,N,1,-73.878334045410156,40.73974609375,-73.862144470214844,40.737800598144531,1,1.07,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
1,2016-03-01 02:30:28,2016-03-01 02:37:41,N,1,-73.962089538574219,40.805328369140625,-73.950035095214844,40.812091827392578,1,1.10,6.5,0,0.5,0,0,,0.3,7.3,2,1
1,2016-03-01 02:59:55,2016-03-01 03:16:25,N,1,-73.875991821289063,40.750503540039063,-73.951431274414063,40.748786926269531,1,4.30,16,0.5,0.5,0,0,,0.3,17.3,2,1
1,2016-03-01 02:59:39,2016-03-01 03:09:45,N,1,-73.939918518066406,40.707511901855469,-73.989753723144531,40.720279693603516,1,3.10,12,0.5,0.5,0,0,,0.3,13.3,2,1
1,2016-03-01 02:59:15,2016-03-01 03:10:19,N,1,-73.925933837890625,40.863460540771484,-73.900962829589844,40.884426116943359,2,2.00,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
1,2016-03-01 02:58:14,2016-03-01 03:25:21,N,1,-73.957778930664063,40.717700958251953,-73.9708251953125,40.798648834228516,1,9.20,29,0.5,0.5,3,0,,0.3,33.3,1,1
1,2016-03-01 02:57:00,2016-03-01 03:02:23,N,1,-73.955177307128906,40.718273162841797,-73.940338134765625,40.715782165527344,1,1.10,6,0.5,0.5,1.45,0,,0.3,8.75,1,1
1,2016-03-01 02:56:54,2016-03-01 03:22:38,N,1,-73.914939880371094,40.69927978515625,-73.950050354003906,40.674160003662109,1,4.30,20,0.5,0.5,4.25,0,,0.3,25.55,1,1
1,2016-03-01 02:56:44,2016-03-01 03:07:26,N,1,-73.939865112304688,40.85137939453125,-73.943565368652344,40.821014404296875,1,3.60,13,0.5,0.5,2.8,0,,0.3,17.1,1,1
1,2016-03-01 02:56:21,2016-03-01 02:59:24,N,1,-73.883003234863281,40.755760192871094,-73.88055419921875,40.74798583984375,1,.60,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
1,2016-03-01 02:55:27,2016-03-01 03:03:59,N,1,-73.941543579101563,40.798419952392578,-73.922752380371094,40.8331298828125,1,3.80,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
1,2016-03-01 02:55:18,2016-03-01 03:05:25,N,1,-73.956100463867188,40.714149475097656,-73.99627685546875,40.710220336914063,1,3.00,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
1,2016-03-01 02:55:11,2016-03-01 03:01:07,N,1,-73.957740783691406,40.722389221191406,-73.951812744140625,40.743064880371094,3,1.80,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
1,2016-03-01 02:55:04,2016-03-01 03:01:55,N,1,-73.881011962890625,40.747913360595703,-73.868019104003906,40.754528045654297,1,1.20,7,0.5,0.5,0,0,,0.3,8.3,2,1
