采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款余额(万),净资金流入(万)
2017-05-19,石榴壳,150,10%,10,5.00,3,2.25,2146.53,156.25
2017-05-19,稳贷网,146.5,20.63%,50,24.74,3,172.04,16034,143.01
2017-05-19,普道财富,144,8.44%,38,9.08,9,413.88,13967,64.34
2017-05-19,联投金融,143,15.78%,31,8.78,5,1435.67,3633.49,47.95
2017-05-19,掌中财富,139.9,12.46%,153,5.60,19,2.46,20091.76,33.05
2017-05-19,秒贷金融,136,8.15%,75,3.78,5,574.28,8283.64,75.07
2017-05-19,小算盘,135,9.85%,115,1.93,14,275.60,6532.4,35.09
2017-05-19,步步盈,135,8.12%,83,5.07,1,45.26,12132.07,72.19
2017-05-19,德众金融,134.11,6.92%,126,2.32,17,70.02,129411.31,-902.03
2017-05-19,金源贷,130,19.08%,36,2.57,10,9.05,8385.92,67.48
2017-05-19,智融财富,126.69,13.8%,59,2.38,4,221.12,8321.85,37.44
2017-05-19,e微贷,120.73,10.42%,69,5.61,11,618.24,18859.44,7.23
2017-05-19,宁创贷,118.56,12.97%,42,4.11,4,83.00,13817.93,0
2017-05-19,京金所,118.19,9.57%,109,4.43,8,731.08,18360.56,94.49
2017-05-19,玺鉴,118,9.31%,32,3.07,4,681.28,9742.95,94.35
2017-05-19,万家贷,116.2,9.99%,76,1.66,7,363.39,9282.95,36.42
2017-05-19,百合贷,115,10.09%,16,9.26,2,5065.57,32449.75,-21.63
2017-05-19,益合贷,112,21.6%,19,2.38,2,0.75,3627.2,23.66
2017-05-19,中投融,110.61,7.1%,63,1.00,2,335.86,215949.67,-136.58
2017-05-19,看看钱包,110.4,8.49%,43,3.15,1,107.16,4679.42,73.74
2017-05-19,余易贷,110,12.44%,12,3.82,6,262.20,10744.39,32.18
2017-05-19,抱财网,110,10.58%,82,5.55,2,615.33,113213.05,-643.17
2017-05-19,微邦金融,110,12.27%,20,3.95,3,2308.09,5208.87,68.32
2017-05-19,财富500,109.4,10%,34,3.00,1,556.87,5094.71,49.51
2017-05-19,固金所,109.11,11.47%,90,4.25,2,2607.22,9310.95,0
2017-05-19,微E贷,107.8,10.09%,20,1.51,7,1440.00,4811.19,27.62
2017-05-19,爱当宝,107.12,9.94%,40,2.94,6,705.06,3599.47,49.76
2017-05-19,医购贷,105,9.36%,18,5.76,2,884.50,26056.58,106.11
2017-05-19,鼎信贷,103.7,11.41%,65,6.59,9,131.06,9244.7,28.48
2017-05-19,多宝贷,101.23,9.63%,133,6.84,23,379.47,13730.3,40.09
2017-05-19,信和贷,101,14.89%,61,2.41,4,332.36,14629.59,83.71
2017-05-19,来融金服,100,10.8%,24,6.00,1,74.51,10425.3,-9.34
2017-05-19,光合种子,100,7%,3,2.83,1,5291.52,3185,101.65
2017-05-19,迪迪贷,100,12%,19,3.00,1,1.20,3654.34,103
2017-05-19,新华久久贷,100,8.7%,46,6.00,1,1527.30,22976.06,97.8
2017-05-19,锦绣钱程,100,8.5%,4,6.00,1,673.58,19039.24,-100.56
2017-05-19,融众网,100,9.9%,48,3.00,1,168.28,12422.98,-102.23
